concept,concept2,distance_common,distance_first_quartile,n_titles,total_count
Adenine,Protein_folding,0.12,0.04,1.0,101.0
Adenine,Red_blood_cell,0.04,0.0,1.0,101.0
Adenine,Ribose,0.7,0.02,1.0,91.0
Adenine,Single-strand_binding_protein,0.14,0.08,1.0,67.0
Adenine,Thymine,0.5,0.0,1.0,60.0
Adenosine_monophosphate,Active_site,-0.04,0.0,1.0,52.0
Adenosine_monophosphate,Adenosine_triphosphate,-0.12000000000000001,0.0,1.0,52.0
Adenosine_monophosphate,Base_pair,0.02,0.060000000000000005,1.0,52.0
Adenosine_monophosphate,C-terminus,0.0,0.04,1.0,52.0
Adenosine_monophosphate,Catalysis,-0.04,0.0,1.0,52.0
Adenosine_monophosphate,Cofactor_(biochemistry),-0.04,0.0,1.0,50.0
Adenosine_monophosphate,Cytosine,0.3,0.04,1.0,52.0
Adenosine_monophosphate,DNA,0.18,0.08,1.0,52.0
Adenosine_monophosphate,DNA_ligase,0.04,0.08,1.0,52.0
Adenosine_monophosphate,Enzyme,-0.04,0.0,1.0,52.0
Adenosine_monophosphate,Enzyme_substrate_(biology),-0.04,0.0,1.0,51.0
Adenosine_monophosphate,HIV,0.4,0.02,1.0,52.0
Adenosine_monophosphate,Helicase,-0.04,0.0,1.0,52.0
Adenosine_monophosphate,Hydrolysis,0.56,0.04,1.0,52.0
Adenosine_monophosphate,Hydroxyl,0.0,0.04,1.0,52.0
Adenosine_monophosphate,Lactose,0.6,0.02,1.0,52.0
Adenosine_monophosphate,Lysine,0.52,0.0,1.0,52.0
Adenosine_monophosphate,Metabolism,0.62,0.0,1.0,52.0
Adenosine_monophosphate,Molecular_cloning,0.04,0.08,1.0,52.0
Adenosine_monophosphate,Nanometre,0.2,0.060000000000000005,1.0,52.0
Adenosine_monophosphate,Nucleic_acid_double_helix,0.0,0.04,1.0,52.0
Adenosine_monophosphate,Nucleic_acid_thermodynamics,0.02,0.08,1.0,52.0
Adenosine_monophosphate,Nucleophile,-0.04,0.0,1.0,51.0
Adenosine_monophosphate,Nucleotide,0.5,0.060000000000000005,1.0,52.0
Adenosine_monophosphate,Oligonucleotide,0.060000000000000005,0.08,1.0,52.0
Adenosine_monophosphate,Phosphodiester_bond,0.38,0.08,1.0,52.0
Adenosine_monophosphate,Phosphorus,-0.16,0.0,1.0,52.0
Adenosine_monophosphate,Protein,-0.060000000000000005,0.0,1.0,52.0
Adenosine_monophosphate,Protein–protein_interaction,0.6,0.0,1.0,52.0
Adenosine_monophosphate,Purine,0.0,0.04,1.0,52.0
Adenosine_monophosphate,Pyrimidine,0.0,0.04,1.0,52.0
Adenosine_monophosphate,RNA,0.02,0.04,1.0,52.0
Adenosine_monophosphate,Restriction_enzyme,0.04,0.08,1.0,52.0
Adenosine_triphosphate,Active_site,0.041360544217687076,0.0,2.0,147.0
Adenosine_triphosphate,Adenosine_monophosphate,0.12000000000000001,0.0,1.0,52.0
Adenosine_triphosphate,Allele,0.07543290043290043,0.054307359307359304,4.0,924.0
Adenosine_triphosphate,Ammonia,0.46,0.02,1.0,86.0
Adenosine_triphosphate,Ampere,-0.09999999999999999,0.0,1.0,177.0
Adenosine_triphosphate,Apoptosis,0.04,0.04,1.0,83.0
Adenosine_triphosphate,Base_pair,0.12441747572815536,0.06519417475728155,2.0,412.0
Adenosine_triphosphate,C-terminus,0.12000000000000001,0.04,1.0,165.0
Adenosine_triphosphate,C4_carbon_fixation,0.034143646408839774,0.04828729281767956,2.0,181.0
Adenosine_triphosphate,Cancer,0.04,0.04,1.0,63.0
Adenosine_triphosphate,Carboxylic_acid,0.0,0.0,1.0,78.0
Adenosine_triphosphate,Carotenoid,0.3,0.04,1.0,60.0
Adenosine_triphosphate,Catalysis,0.08,0.0,1.0,55.0
Adenosine_triphosphate,Cell_division,0.011780028943560061,0.037395079594790166,4.0,691.0
Adenosine_triphosphate,Cellular_respiration,0.02063063063063063,0.006036036036036036,3.0,222.0
Adenosine_triphosphate,Chlorophyll,0.02,0.030315789473684213,3.0,285.0
Adenosine_triphosphate,Citric_acid,0.0,0.0,1.0,60.0
Adenosine_triphosphate,Citric_acid_cycle,0.04,0.04,1.0,53.0
Adenosine_triphosphate,Cofactor_(biochemistry),0.08,0.0,1.0,50.0
Adenosine_triphosphate,Cyclin-dependent_kinase,0.04,0.04,1.0,50.0
Adenosine_triphosphate,Cytoplasm,0.37640535372848943,0.07453154875717018,4.0,523.0
Adenosine_triphosphate,Cytosine,0.42,0.04,1.0,64.0
Adenosine_triphosphate,DNA_ligase,0.16,0.08,1.0,109.0
Adenosine_triphosphate,Enzyme_substrate_(biology),0.08,0.0,1.0,51.0
Adenosine_triphosphate,Fermentation,0.02,0.0,1.0,50.0
Adenosine_triphosphate,Free_On-line_Dictionary_of_Computing/E_-_H,0.6,0.04,1.0,177.0
Adenosine_triphosphate,Gamete,0.07073783359497646,0.06885400313971743,4.0,637.0
Adenosine_triphosphate,Glucose,0.45406998158379375,0.06718232044198896,4.0,543.0
Adenosine_triphosphate,Glycolysis,0.007923322683706071,0.013482428115015974,3.0,313.0
Adenosine_triphosphate,HIV,0.5612121212121212,0.03766233766233767,3.0,231.0
Adenosine_triphosphate,Helicase,0.08,0.0,1.0,156.0
Adenosine_triphosphate,Hydrogen_ion,0.0,0.010684931506849316,2.0,146.0
Adenosine_triphosphate,Hydrolysis,0.44375,0.01975,2.0,240.0
Adenosine_triphosphate,Ion_channel,0.62,0.0,1.0,115.0
Adenosine_triphosphate,Lactose,0.72,0.02,1.0,107.0
Adenosine_triphosphate,Light-independent_reactions,0.029843750000000002,0.0396875,2.0,128.0
Adenosine_triphosphate,Liver,0.72,0.02,1.0,113.0
Adenosine_triphosphate,Lysine,0.64,0.0,1.0,92.0
Adenosine_triphosphate,Lysozyme,0.26,0.0,1.0,52.0
Adenosine_triphosphate,Meiosis,0.13498059508408797,0.04595084087968952,4.0,773.0
Adenosine_triphosphate,Metabolism,0.7167364016736402,0.0697907949790795,2.0,239.0
Adenosine_triphosphate,Mitochondrion,0.043120000000000006,0.0454,4.0,500.0
Adenosine_triphosphate,Nicotinamide_adenine_dinucleotide,0.009641693811074919,0.016026058631921823,3.0,307.0
Adenosine_triphosphate,Nicotinamide_adenine_dinucleotide_phosphate,0.019999999999999997,0.03092307692307692,2.0,130.0
Adenosine_triphosphate,Nucleic_acid_double_helix,0.12,0.04,1.0,98.0
Adenosine_triphosphate,Nucleic_acid_thermodynamics,0.14,0.08,1.0,53.0
Adenosine_triphosphate,Nucleophile,0.08,0.0,1.0,51.0
Adenosine_triphosphate,Nucleotide,0.3073714285714286,0.01365714285714286,4.0,700.0
Adenosine_triphosphate,Oligonucleotide,0.18,0.08,1.0,75.0
Adenosine_triphosphate,Oxygen,0.4179874213836478,0.004654088050314466,3.0,954.0
Adenosine_triphosphate,Phenotype,0.07919571045576408,0.06739946380697051,3.0,373.0
Adenosine_triphosphate,Phosphodiester_bond,0.5,0.08,1.0,124.0
Adenosine_triphosphate,Photosynthesis,0.02,0.02745932415519399,3.0,799.0
Adenosine_triphosphate,Purine,0.12,0.04000000000000001,1.0,57.0
Adenosine_triphosphate,Pyrimidine,0.12,0.04,1.0,69.0
Adenosine_triphosphate,Red_blood_cell,0.3854838709677419,0.05413978494623656,3.0,372.0
Adenosine_triphosphate,Water,0.020000000000000004,0.005024154589371981,2.0,207.0
Adolescence,Depression_(mood),0.62,0.06,1.0,51.0
Adolescence,Frontal_lobe,-0.18,0.04,1.0,51.0
Adolescence,Happiness,0.4,0.08,1.0,51.0
Adolescence,Jean_Piaget,-0.02,0.02,1.0,51.0
Adolescence,Test_(assessment),-0.26,0.08,1.0,51.0
Adolescence,United_States,0.32,0.06,1.0,51.0
African_American,Antidepressant,-0.1,0.0,1.0,103.0
African_American,Cognitive_behavioral_therapy,0.06,0.0,1.0,55.0
Algae,Antheridium,0.12,0.06,1.0,57.0
Algae,Archegonium,0.12,0.08,1.0,84.0
Algae,Bryophyte,0.05999999999999999,0.05999999999999999,1.0,148.0
Algae,Diatom,0.02,0.02,1.0,76.0
Algae,Dinoflagellate,0.0,0.0,1.0,64.0
Algae,Gametophyte,0.08,0.05999999999999999,1.0,148.0
Algae,Germination,0.26,0.06,1.0,87.0
Algae,Marchantiophyta,0.060000000000000005,0.060000000000000005,1.0,72.0
Algae,Mineral,0.3,0.02,1.0,59.0
Algae,Moss,0.08,0.08,1.0,56.0
Algae,Ocean,0.0,0.0,1.0,56.0
Algae,Oomycete,0.04,0.0,1.0,63.0
Algae,Red_algae,0.02,0.0,1.0,85.0
Algae,Slime_mold,0.04,0.0,1.0,59.0
Algae,Sperm,0.18,0.05999999999999999,1.0,148.0
Algae,Sporangium,0.11999999999999998,0.05999999999999999,1.0,148.0
Algae,Sporophyte,0.08,0.05999999999999999,1.0,148.0
Algae,Stoma,0.5,0.08,1.0,148.0
Algae,Vascular_plant,0.1,0.05999999999999999,1.0,148.0
Allele,Active_site,0.05374149659863946,0.05374149659863946,2.0,147.0
Allele,Adenine,0.0,0.06,1.0,101.0
Allele,Allele_frequency,0.05999999999999999,0.05999999999999999,1.0,74.0
Allele,Biomolecular_structure,0.01148936170212766,0.01148936170212766,2.0,188.0
Allele,Cytoplasm,0.3046653919694073,0.026424474187380517,4.0,523.0
Allele,Dominance_(genetics),0.0,0.0,3.0,248.0
Allele,Enzyme_catalysis,0.16,0.08,1.0,52.0
Allele,Eukaryote,0.22764091858037575,0.024634655532359075,4.0,958.0
Allele,Flagellum,0.07760368663594472,0.052903225806451626,2.0,217.0
Allele,Gene,0.16522796352583588,0.05655521783181358,4.0,987.0
Allele,Genotype,0.0920701754385965,0.0,2.0,285.0
Allele,Glucose,0.3784162062615102,0.013627992633517492,4.0,543.0
Allele,HIV,0.5116883116883117,0.021038961038961038,3.0,231.0
Allele,Molecular_biology,-0.02,0.04,1.0,131.0
Allele,Nanometre,0.12375,0.03937500000000001,2.0,160.0
Allele,Nucleic_acid,0.08342857142857144,0.044000000000000004,2.0,245.0
Allele,Phenotype,0.002949061662198392,0.002949061662198392,3.0,373.0
Allele,Ploidy,0.1975672215108835,0.01549295774647887,4.0,781.0
Allele,Polyploid,0.09098591549295774,0.035633802816901414,2.0,142.0
Allele,Prokaryote,0.23250291036088477,0.038742724097788124,4.0,859.0
Allele,Protein–protein_interaction,0.322874251497006,0.010898203592814362,2.0,167.0
Allele,Red_blood_cell,0.3325268817204301,0.024623655913978495,3.0,372.0
Allele,Ribose,0.7,0.08,1.0,91.0
Allele,Rice,0.38,0.07966386554621849,2.0,119.0
Allele,Thymine,0.5,0.05999999999999999,1.0,60.0
Allele,Transport_express_régional,-0.04,0.08,1.0,78.0
Allele,Water_potential,0.013235294117647064,0.05117647058823529,2.0,136.0
Allele,Zygosity,0.0,0.0,3.0,389.0
Allele_frequency,8-bit,0.04,0.0,1.0,74.0
Allele_frequency,Embryo,0.26,0.04,1.0,54.0
Allele_frequency,Habitat,0.52,0.05999999999999999,1.0,74.0
Allele_frequency,Natural_selection,0.02,0.02,1.0,74.0
Allele_frequency,United_States,0.5,0.0,1.0,74.0
Alpha_helix,Active_site,0.06,0.06,1.0,76.0
Alpha_helix,Adenosine_monophosphate,0.1,0.060000000000000005,1.0,52.0
Alpha_helix,Adenosine_triphosphate,-0.02,0.06,1.0,174.0
Alpha_helix,Amino_acid,0.6,0.02,1.0,174.0
Alpha_helix,Biochemistry,0.46,0.0,1.0,52.0
Alpha_helix,Biomolecular_structure,0.0,0.0,1.0,124.0
Alpha_helix,Catalysis,0.06,0.06,1.0,55.0
Alpha_helix,Cofactor_(biochemistry),0.06,0.06,1.0,50.0
Alpha_helix,Enzyme,0.06,0.06,1.0,174.0
Alpha_helix,Enzyme_substrate_(biology),0.06,0.06,1.0,51.0
Alpha_helix,Flat-four_engine,0.02,0.0,1.0,125.0
Alpha_helix,Glutamic_acid,0.6,0.0,1.0,73.0
Alpha_helix,Glutamine,0.38,0.02,1.0,67.0
Alpha_helix,Glycine,0.6,0.0,1.0,51.0
Alpha_helix,HIV,0.5,0.08,1.0,95.0
Alpha_helix,Helicase,0.06,0.06,1.0,156.0
Alpha_helix,Hydrogen_bond,0.0,0.0,1.0,99.0
Alpha_helix,Hydrophobe,0.02,0.0,1.0,66.0
Alpha_helix,Ion,-0.02,0.0,1.0,104.0
Alpha_helix,Lactose,0.7,0.08,1.0,107.0
Alpha_helix,Ligand,0.74,0.04,1.0,52.0
Alpha_helix,Lysine,0.62,0.06,1.0,92.0
Alpha_helix,Metabolism,0.72,0.06,1.0,100.0
Alpha_helix,Nucleic_acid,0.1,0.04,1.0,161.0
Alpha_helix,Nucleophile,0.06,0.06,1.0,51.0
Alpha_helix,Peptide,0.0,0.0,1.0,174.0
Alpha_helix,Peptide_bond,0.0,0.0,1.0,135.0
Alpha_helix,Phenylalanine,0.6,0.04,1.0,66.0
Alpha_helix,Phosphate,0.1,0.04,1.0,144.0
Alpha_helix,Phosphorus,-0.06,0.06,1.0,62.0
Alpha_helix,Protein,0.04,0.06,1.0,174.0
Alpha_helix,Protein_Data_Bank,0.64,0.02,1.0,134.0
Alpha_helix,Protein_folding,0.02,0.0,1.0,112.0
Alpha_helix,Protein–protein_interaction,0.7,0.06,1.0,84.0
Alpha_helix,Single-strand_binding_protein,0.04,0.04,1.0,67.0
Alpha_helix,X-ray_crystallography,0.020000000000000004,0.04000000000000001,1.0,57.0
Amino_acid,Active_site,-0.32748299319727897,0.03034013605442177,2.0,147.0
Amino_acid,Adenosine_monophosphate,-0.5,0.04,1.0,52.0
Amino_acid,Adenosine_triphosphate,-0.24005291005291007,0.04964726631393298,4.0,1134.0
Amino_acid,Ammonia,0.36,0.04,1.0,86.0
Amino_acid,Ampere,-0.18,0.08,1.0,145.0
Amino_acid,Apoptosis,-0.06,0.06,1.0,83.0
Amino_acid,C-terminus,-0.5,0.08,1.0,165.0
Amino_acid,Cancer,-0.06,0.06,1.0,63.0
Amino_acid,Carboxylic_acid,-0.1,0.02,1.0,78.0
Amino_acid,Catalysis,-0.54,0.04,1.0,55.0
Amino_acid,Cell_cycle,-0.27087719298245616,0.013403508771929825,3.0,285.0
Amino_acid,Cell_membrane,-0.14,0.0106900878293601,3.0,797.0
Amino_acid,Cell_wall,-0.16168949771689498,0.06,3.0,438.0
Amino_acid,Cellular_respiration,-0.07333333333333333,0.07117117117117118,3.0,222.0
Amino_acid,Cellulose,-0.18,0.04,1.0,102.0
Amino_acid,Chloroplast,-0.1504743833017078,0.012106261859582544,3.0,527.0
